City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
537,Jumla,NP,50.61,clear sky,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
541,Bose,IT,56.21,clear sky,45.4612,8.0137,Locanda Borgo Antico
544,Gargzdai,LT,51.58,overcast clouds,55.7128,21.4033,LIJO
552,Khani,GE,51.37,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
553,Priladozhskiy,RU,55.62,moderate rain,59.85,31.4833,Grand Putilovo Plaza Royal: Resort & SPA
560,Uruzgan,AF,58.33,scattered clouds,32.8333,66.0,
561,Adrano,IT,62.44,clear sky,37.6618,14.8348,B&B Patty's House
567,Canmore,CA,55.76,clear sky,51.0834,-115.3521,Blackstone Mountain Lodge by CLIQUE
572,Ludza,LV,54.63,overcast clouds,56.55,27.7167,"Viesnīca ""Ludza"""
578,Iskele,TR,57.22,clear sky,39.484,26.9278,Hotel Nova
580,Ulladulla,AU,57.87,broken clouds,-35.35,150.4667,Sandpiper Motel
583,Santona,ES,59.94,clear sky,43.4439,-3.4576,Playamar
584,Bohuslav,UA,57.78,few clouds,49.5494,30.8744,Садиба «Квітуча»
590,Kiama,AU,61.0,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
595,Coldwater,US,56.08,overcast clouds,41.9403,-85.0005,Coldwater Inn & Suites
597,Inarcs,HU,60.87,overcast clouds,47.262,19.327,Bagolyvár Inárcs
599,Quebec,CA,54.19,light rain,46.8123,-71.2145,Hilton Quebec
600,Svetlyy,RU,51.85,few clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
603,Antofagasta,CL,61.88,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
604,Butare,RW,60.8,overcast clouds,-2.5967,29.7394,Light House Hotel
606,Airai,TL,64.33,broken clouds,-8.9266,125.4092,Juvinal Martin
613,Clarence Town,AU,60.82,clear sky,-32.5833,151.7833,River Downs Cottage
617,Sept-Iles,CA,51.06,overcast clouds,50.2001,-66.3821,Comfort Inn
621,Cap-Aux-Meules,CA,51.85,overcast clouds,47.3821,-61.8597,Auberge Madeli
626,Magelang,ID,58.62,overcast clouds,-7.4706,110.2178,Puri Asri Magelang Hotel & Resort
633,Tolmezzo,IT,56.35,overcast clouds,46.4075,13.0175,Albergo Roma
646,Tarrega,ES,62.87,overcast clouds,41.647,1.1396,Hotel Ciutat de Tàrrega
653,Panzhihua,CN,55.96,overcast clouds,26.5851,101.7128,Electric Power Hotel
