City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Butaritari,KI,3.0707,172.7902,82.31,76,32,17.38,light rain
70,Dikson,RU,73.5069,80.5464,23.43,71,100,10.29,overcast clouds
71,Tautira,PF,-17.7333,-149.15,82.42,77,5,9.89,light rain
72,Korla,CN,41.7597,86.1469,54.84,29,0,6.35,clear sky
73,Padang,ID,-0.9492,100.3543,77.2,87,100,3.13,overcast clouds
74,Waddan,LY,29.1614,16.139,75.58,35,100,15.1,overcast clouds
75,Lebu,CL,-37.6167,-73.65,54.19,65,3,18.07,clear sky
76,Clearlake,US,38.9582,-122.6264,61.02,62,100,3.02,overcast clouds
77,Kannangad,IN,12.3081,75.1063,77.45,91,100,4.12,overcast clouds
78,Atar,MR,20.5169,-13.0499,85.06,14,0,11.39,clear sky
79,Chuy,UY,-33.6971,-53.4616,66.09,59,12,9.33,few clouds
80,Guerrero Negro,MX,27.9769,-114.0611,74.5,62,2,9.46,clear sky
81,Torbay,CA,47.6666,-52.7314,52.57,75,74,10.0,broken clouds
82,Tateyama,JP,34.9833,139.8667,58.01,88,100,14.07,moderate rain
83,Mahebourg,MU,-20.4081,57.7,74.25,82,5,9.75,clear sky
84,Cherskiy,RU,68.75,161.3,5.2,97,100,5.23,overcast clouds
85,Bani,DO,18.2833,-70.3333,89.04,67,14,11.7,few clouds
86,Pskov,RU,57.8136,28.3496,51.71,93,40,15.66,scattered clouds
87,Bluff,NZ,-46.6,168.3333,41.85,85,10,5.68,clear sky
88,Puerto Ayora,EC,-0.7393,-90.3518,71.11,82,99,10.83,overcast clouds
89,Lompoc,US,34.6391,-120.4579,78.01,70,1,9.22,clear sky
90,Ostrovnoy,RU,68.0531,39.5131,33.71,80,100,17.2,overcast clouds
91,Avanigadda,IN,16.0215,80.9181,77.04,84,1,2.3,clear sky
92,Bataipora,BR,-22.2953,-53.2711,83.52,38,0,4.41,clear sky
93,Madera,US,37.1666,-119.8343,83.88,23,72,1.01,broken clouds
94,Hithadhoo,MV,-0.6,73.0833,80.65,78,100,8.97,overcast clouds
95,Pacific Grove,US,36.6177,-121.9166,75.61,80,20,3.0,few clouds
96,Opuwo,NA,-18.0607,13.84,70.66,24,0,11.36,clear sky
97,Osoyoos,CA,49.0331,-119.4524,59.0,67,100,4.34,overcast clouds
98,Hamilton,US,39.1834,-84.5333,74.03,60,20,1.01,few clouds
99,Impfondo,CG,1.6381,18.0667,71.42,99,100,2.39,overcast clouds
100,Dunedin,NZ,-45.8742,170.5036,51.8,79,71,8.01,broken clouds
101,Qorveh,IR,35.1664,47.8045,44.19,65,1,5.41,clear sky
102,Alofi,NU,-19.0595,-169.9187,76.89,69,40,14.97,scattered clouds
103,Severo-Kurilsk,RU,50.6789,156.125,36.72,71,87,8.01,overcast clouds
104,Tadine,NC,-21.55,167.8833,70.68,86,100,5.03,overcast clouds
105,Grand Gaube,MU,-20.0064,57.6608,74.37,76,18,4.0,few clouds
106,Leshukonskoye,RU,64.8989,45.7622,29.73,97,94,3.51,overcast clouds
107,Cilegon,ID,-6.0174,106.0538,78.69,80,100,2.37,overcast clouds
108,Hilo,US,19.7297,-155.09,82.27,78,0,3.0,clear sky
109,Lata,PT,40.1629,-8.3327,59.05,80,0,5.14,clear sky
110,Buala,SB,-8.145,159.5921,80.26,78,100,4.56,light rain
111,Tonekabon,IR,36.8163,50.8738,60.17,82,46,5.01,scattered clouds
112,Lucea,JM,18.451,-78.1736,85.86,74,50,11.05,light rain
113,San Patricio,US,28.017,-97.5169,87.89,50,10,5.84,clear sky
114,Port Hedland,AU,-20.3167,118.5667,64.45,82,0,5.75,clear sky
115,Calabozo,VE,8.9242,-67.4293,86.74,55,100,6.17,overcast clouds
116,Barrow,US,71.2906,-156.7887,26.62,86,90,14.97,overcast clouds
117,Riohacha,CO,11.5444,-72.9072,91.38,54,93,13.76,overcast clouds
118,Dno,RU,57.8277,29.9637,53.19,84,100,17.87,overcast clouds
119,Skjervoy,NO,70.0311,20.9714,37.58,69,100,22.32,overcast clouds
120,Castro,BR,-24.7911,-50.0119,68.32,50,97,3.65,overcast clouds
121,Merauke,ID,-8.4667,140.3333,77.58,87,100,5.3,overcast clouds
122,Naze,JP,28.3667,129.4833,67.98,79,97,19.26,overcast clouds
123,Ureki,GE,41.9956,41.7786,59.43,70,0,6.96,clear sky
124,Shahrud,IR,36.4182,54.9763,43.92,67,0,6.64,clear sky
125,Orlik,RU,52.5178,99.825,29.39,49,0,2.84,clear sky
126,Falam,MM,22.9167,93.6833,57.4,97,67,3.91,broken clouds
127,Thompson,CA,55.7435,-97.8558,34.12,71,100,5.66,overcast clouds
128,Geraldton,AU,-28.7667,114.6,57.61,94,90,4.61,overcast clouds
129,Krasnaya Polyana,RU,56.242,51.1442,42.57,98,100,13.33,overcast clouds
130,Saint-Philippe,RE,-21.3585,55.7679,71.22,75,0,6.02,clear sky
131,Bestobe,KZ,52.4994,73.0975,36.86,67,10,19.17,clear sky
132,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,25,20,13.8,few clouds
133,Ballina,AU,-28.8667,153.5667,62.78,99,49,4.29,scattered clouds
134,Balabac,PH,7.9868,117.0645,80.31,82,100,6.11,overcast clouds
135,Champerico,GT,14.3,-91.9167,85.35,75,100,12.77,overcast clouds
136,Pechora,RU,65.1472,57.2244,28.92,90,100,14.43,light snow
137,Lewisporte,CA,49.2499,-55.0482,49.14,73,100,13.69,overcast clouds
138,Traverse City,US,44.7631,-85.6206,48.94,93,90,12.66,overcast clouds
139,Kavaratti,IN,10.5669,72.642,81.81,78,100,10.07,overcast clouds
140,Mujiayingzi,CN,42.1167,118.7833,36.73,48,0,10.31,clear sky
141,Gariaband,IN,20.635,82.0614,67.24,72,2,2.33,clear sky
142,Nueva Loja,EC,0.0847,-76.8828,89.62,58,40,5.75,scattered clouds
143,Pevek,RU,69.7008,170.3133,12.92,90,100,14.2,overcast clouds
144,Atuona,PF,-9.8,-139.0333,78.26,77,8,21.54,clear sky
145,Avera,US,33.194,-82.5271,80.47,47,33,8.99,scattered clouds
146,Jinchang,CN,38.4953,102.1739,46.72,48,100,9.8,overcast clouds
147,Simao,CN,22.7886,100.9748,62.91,100,100,2.44,overcast clouds
148,Belyy Yar,RU,53.6039,91.3903,28.29,86,97,4.47,mist
149,Krasnoturansk,RU,54.3186,91.5639,27.39,65,87,4.97,overcast clouds
150,Georgetown,MY,5.4112,100.3354,79.9,87,20,0.0,few clouds
151,Pouembout,NC,-21.1333,164.9,67.24,91,97,4.94,overcast clouds
152,Boffa,GN,10.1667,-14.0333,76.5,87,100,4.43,moderate rain
153,Rawson,AR,-43.3002,-65.1023,57.81,46,73,19.17,broken clouds
154,Cootamundra,AU,-34.65,148.0333,50.5,95,89,9.57,overcast clouds
155,Hermanus,ZA,-34.4187,19.2345,66.79,79,100,2.48,overcast clouds
156,Cabo San Lucas,MX,22.8909,-109.9124,88.61,66,0,4.0,clear sky
157,Nishihara,JP,26.1842,127.7558,70.88,89,75,6.91,broken clouds
158,Bambous Virieux,MU,-20.3428,57.7575,74.21,82,12,9.78,few clouds
159,Tuktoyaktuk,CA,69.4541,-133.0374,28.13,87,100,7.72,overcast clouds
160,Sao Filipe,CV,14.8961,-24.4956,82.06,63,74,6.89,broken clouds
161,Kruisfontein,ZA,-34.0033,24.7314,64.89,66,100,8.37,overcast clouds
162,Visby,SE,57.6409,18.296,48.85,71,40,28.77,scattered clouds
163,Halmstad,SE,56.6745,12.8568,48.4,68,40,21.85,scattered clouds
164,Micheweni,TZ,-4.9667,39.8333,76.71,81,46,9.6,scattered clouds
165,Husavik,IS,66.0449,-17.3389,33.84,68,100,14.47,overcast clouds
166,Saint Marys,US,30.7305,-81.5465,86.05,62,1,8.01,clear sky
167,Bantry,IE,51.6833,-9.45,47.68,76,12,6.26,few clouds
168,Fort Nelson,CA,58.8053,-122.7002,26.19,93,90,2.3,fog
169,Kaitangata,NZ,-46.2817,169.8464,41.32,90,32,1.95,scattered clouds
170,Puerto Escondido,MX,15.85,-97.0667,86.83,66,75,5.75,broken clouds
171,Kaoma,ZM,-14.7833,24.8,73.81,47,75,4.0,broken clouds
172,Inhambane,MZ,-23.865,35.3833,71.58,73,20,8.05,few clouds
173,Inta,RU,66.0317,60.1659,30.34,75,100,11.77,overcast clouds
174,Cidreira,BR,-30.1811,-50.2056,68.2,70,12,13.0,few clouds
175,Nome,US,64.5011,-165.4064,33.87,70,90,8.05,overcast clouds
176,Colac,AU,-38.3333,143.5833,54.63,94,90,0.94,overcast clouds
177,Yerbogachen,RU,61.2767,108.0108,33.15,92,100,7.67,overcast clouds
178,Ponta Do Sol,PT,32.6667,-17.1,72.23,45,3,6.2,clear sky
179,Ginda,IN,30.6945,78.4932,55.89,55,0,6.06,clear sky
180,Ilulissat,GL,69.2167,-51.1,30.22,80,75,13.8,broken clouds
181,Alexandria,EG,31.2156,29.9553,71.67,58,0,10.38,clear sky
182,Vao,NC,-22.6667,167.4833,70.79,83,100,11.52,light rain
183,Porto Novo,BJ,6.4965,2.6036,79.2,80,100,4.25,overcast clouds
184,Beroroha,MG,-21.6667,45.1667,74.79,52,0,3.69,clear sky
185,Vicosa,BR,-20.7539,-42.8819,63.95,84,100,5.7,overcast clouds
186,Tuatapere,NZ,-46.1333,167.6833,42.08,84,5,3.47,clear sky
187,Vanimo,PG,-2.6741,141.3028,76.1,89,95,3.85,overcast clouds
188,Tres Lagoas,BR,-20.7511,-51.6783,84.9,40,0,3.71,clear sky
189,Mathbaria,BD,22.2876,89.9593,74.89,82,96,1.39,overcast clouds
190,Bonthe,SL,7.5264,-12.505,80.04,80,100,8.52,overcast clouds
191,Codrington,AU,-38.2667,141.9667,51.49,96,83,1.66,broken clouds
192,Rio Bueno,CL,-40.3167,-72.9667,57.34,48,83,2.26,broken clouds
193,Nanakuli,US,21.3906,-158.1547,79.03,73,90,6.91,light rain
194,Teya,RU,60.3778,92.6267,35.44,87,85,4.94,overcast clouds
195,Lima,PE,-12.0432,-77.0282,67.14,72,40,12.66,scattered clouds
196,Beloha,MG,-25.1667,45.05,62.85,78,0,5.7,clear sky
